speaker,full_text,publishedAt,source
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-01-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-02-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-03-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-04-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-05-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-06-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-07-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-08-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-09-01,TheHindu
Jaishankar,Jaishankar stressed cybersecurity cooperation and protection of critical infrastructure in bilateral discussions.,2024-01-01,TheHindu
Jaishankar,India pharmaceutical industry serves as the pharmacy of the world and reflects our commitment to global health said Jaishankar.,2024-02-01,TheHindu
Jaishankar,The importance of reliable secure and resilient supply chains in critical sectors cannot be overstated said Jaishankar.,2024-03-01,TheHindu
Jaishankar,Jaishankar participated in the East Asia Summit highlighting India Act East Policy and maritime security priorities.,2024-04-01,TheHindu
Jaishankar,S. Jaishankar addressed the UN General Assembly emphasizing Indias foreign policy priorities and strategic autonomy in a multipolar world.,2024-05-01,TheHindu
Jaishankar,External Affairs Minister Jaishankar said India believes in multi-alignment and engages with all major powers while protecting national sovereignty and interests.,2024-06-01,TheHindu
Jaishankar,Jaishankar spoke about the Indo-Pacific region requiring a rules-based order underpinned by freedom of navigation and overflight rights.,2024-07-01,TheHindu
Jaishankar,India ties with ASEAN Japan and Australia are critical to Indo-Pacific stability said Jaishankar at the Quad summit in Washington.,2024-08-01,TheHindu
Jaishankar,Economic diplomacy is central to Indias vision said Jaishankar discussing trade partnerships technology transfer and supply chain resilience.,2024-09-01,TheHindu
Jaishankar,Jaishankar emphasized that India relationship with neighbouring countries must be defined by mutual respect connectivity and shared prosperity.,2024-01-01,TheHindu
Jaishankar,India advocates connectivity people-to-people contact and economic integration across South Asia said External Affairs Minister Jaishankar.,2024-02-01,TheHindu
Jaishankar,Terrorism remains the gravest threat to global peace and India will not tolerate cross-border terrorism said Jaishankar at a security conference.,2024-03-01,TheHindu
Jaishankar,India expects the international community to hold perpetrators of terrorism accountable and deny them safe havens said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Climate change requires collective global action said Jaishankar as India leads on renewable energy through the International Solar Alliance.,2024-05-01,TheHindu
Jaishankar,India commitment to solar energy and clean power is a demonstration of our seriousness about climate goals said Jaishankar.,2024-06-01,TheHindu
Jaishankar,The United Nations must reform to reflect 21st century realities said Jaishankar advocating for Indias permanent seat on Security Council.,2024-07-01,TheHindu
Jaishankar,India deserves a permanent seat on the UN Security Council representing the voice of the Global South said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Diaspora diplomacy connects millions of Indians abroad with the motherland said Jaishankar addressing the Pravasi Bharatiya Divas convention.,2024-09-01,TheHindu
Jaishankar,Our vibrant diaspora is both a bridge and an ambassador for Brand India around the world said External Affairs Minister Jaishankar.,2024-01-01,TheHindu
Jaishankar,Digital connectivity and technology cooperation are the new frontier of diplomacy said Jaishankar at a tech summit.,2024-02-01,TheHindu
Jaishankar,Indias digital public infrastructure including UPI and Aadhaar is a model for developing nations said Jaishankar.,2024-03-01,TheHindu
Jaishankar,The Quad partnership between India US Australia and Japan is a force for regional stability said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar said India foreign policy under Prime Minister Modi has transformed bilateral relationships with strategic significance.,2024-05-01,TheHindu
Jaishankar,India engages with Russia China USA and Europe independently reflecting our strategic autonomy said Jaishankar at policy forum.,2024-06-01,TheHindu
Jaishankar,Jaishankar discussed bilateral trade investment and technology cooperation during his visit to the European Union headquarters.,2024-07-01,TheHindu
Jaishankar,India is a net security provider in the Indian Ocean region said Jaishankar highlighting maritime security cooperation.,2024-08-01,TheHindu
Jaishankar,The Shanghai Cooperation Organisation provides a platform for India to engage with Central Asian nations said Jaishankar.,2024-09-01,TheHindu
Jaishankar,India G20 presidency was a landmark achievement showcasing our global leadership said External Affairs Minister Jaishankar.,2024-01-01,TheHindu
Jaishankar,Jaishankar inaugurated the new Indian mission emphasizing the importance of consular services for the diaspora.,2024-02-01,TheHindu
Jaishankar,Supply chain diversification and reducing dependence on single sources is critical for economic security said Jaishankar.,2024-03-01,TheHindu
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-05-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-06-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-07-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-08-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-09-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-01-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-02-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-03-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-04-01,TheHindu
Jaishankar,Jaishankar stressed cybersecurity cooperation and protection of critical infrastructure in bilateral discussions.,2024-05-01,TheHindu
Jaishankar,India pharmaceutical industry serves as the pharmacy of the world and reflects our commitment to global health said Jaishankar.,2024-06-01,TheHindu
Jaishankar,The importance of reliable secure and resilient supply chains in critical sectors cannot be overstated said Jaishankar.,2024-07-01,TheHindu
Jaishankar,Jaishankar participated in the East Asia Summit highlighting India Act East Policy and maritime security priorities.,2024-08-01,TheHindu
Jaishankar,S. Jaishankar addressed the UN General Assembly emphasizing Indias foreign policy priorities and strategic autonomy in a multipolar world.,2024-09-01,TheHindu
Jaishankar,External Affairs Minister Jaishankar said India believes in multi-alignment and engages with all major powers while protecting national sovereignty and interests.,2024-01-01,TheHindu
Jaishankar,Jaishankar spoke about the Indo-Pacific region requiring a rules-based order underpinned by freedom of navigation and overflight rights.,2024-02-01,TheHindu
Jaishankar,India ties with ASEAN Japan and Australia are critical to Indo-Pacific stability said Jaishankar at the Quad summit in Washington.,2024-03-01,TheHindu
Jaishankar,Economic diplomacy is central to Indias vision said Jaishankar discussing trade partnerships technology transfer and supply chain resilience.,2024-04-01,TheHindu
Jaishankar,Jaishankar emphasized that India relationship with neighbouring countries must be defined by mutual respect connectivity and shared prosperity.,2024-05-01,TheHindu
Jaishankar,India advocates connectivity people-to-people contact and economic integration across South Asia said External Affairs Minister Jaishankar.,2024-06-01,TheHindu
Jaishankar,Terrorism remains the gravest threat to global peace and India will not tolerate cross-border terrorism said Jaishankar at a security conference.,2024-07-01,TheHindu
Jaishankar,India expects the international community to hold perpetrators of terrorism accountable and deny them safe havens said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Climate change requires collective global action said Jaishankar as India leads on renewable energy through the International Solar Alliance.,2024-09-01,TheHindu
Jaishankar,India commitment to solar energy and clean power is a demonstration of our seriousness about climate goals said Jaishankar.,2024-01-01,TheHindu
Jaishankar,The United Nations must reform to reflect 21st century realities said Jaishankar advocating for Indias permanent seat on Security Council.,2024-02-01,TheHindu
Jaishankar,India deserves a permanent seat on the UN Security Council representing the voice of the Global South said Jaishankar.,2024-03-01,TheHindu
Jaishankar,Diaspora diplomacy connects millions of Indians abroad with the motherland said Jaishankar addressing the Pravasi Bharatiya Divas convention.,2024-04-01,TheHindu
Jaishankar,Our vibrant diaspora is both a bridge and an ambassador for Brand India around the world said External Affairs Minister Jaishankar.,2024-05-01,TheHindu
Jaishankar,Digital connectivity and technology cooperation are the new frontier of diplomacy said Jaishankar at a tech summit.,2024-06-01,TheHindu
Jaishankar,Indias digital public infrastructure including UPI and Aadhaar is a model for developing nations said Jaishankar.,2024-07-01,TheHindu
Jaishankar,The Quad partnership between India US Australia and Japan is a force for regional stability said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Jaishankar said India foreign policy under Prime Minister Modi has transformed bilateral relationships with strategic significance.,2024-09-01,TheHindu
Jaishankar,India engages with Russia China USA and Europe independently reflecting our strategic autonomy said Jaishankar at policy forum.,2024-01-01,TheHindu
Jaishankar,Jaishankar discussed bilateral trade investment and technology cooperation during his visit to the European Union headquarters.,2024-02-01,TheHindu
Jaishankar,India is a net security provider in the Indian Ocean region said Jaishankar highlighting maritime security cooperation.,2024-03-01,TheHindu
Jaishankar,The Shanghai Cooperation Organisation provides a platform for India to engage with Central Asian nations said Jaishankar.,2024-04-01,TheHindu
Jaishankar,India G20 presidency was a landmark achievement showcasing our global leadership said External Affairs Minister Jaishankar.,2024-05-01,TheHindu
Jaishankar,Jaishankar inaugurated the new Indian mission emphasizing the importance of consular services for the diaspora.,2024-06-01,TheHindu
Jaishankar,Supply chain diversification and reducing dependence on single sources is critical for economic security said Jaishankar.,2024-07-01,TheHindu
Jaishankar,India semiconductor industry and electronics manufacturing are priorities in our industrial policy said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Jaishankar met with counterparts from BRICS nations discussing trade in local currencies and financial cooperation.,2024-09-01,TheHindu
Jaishankar,India infrastructure projects in the neighborhood including ports roads and power plants serve regional connectivity said Jaishankar.,2024-01-01,TheHindu
Jaishankar,People-to-people connections through culture education and tourism strengthen bilateral bonds said Jaishankar at cultural festival.,2024-02-01,TheHindu
Jaishankar,Jaishankar highlighted the importance of the India-Middle East-Europe Economic Corridor as a new trade route.,2024-03-01,TheHindu
Jaishankar,India relationship with Africa is a priority with increased investment development assistance and trade said Jaishankar.,2024-04-01,TheHindu
Jaishankar,The Voice of Global South Summit demonstrated India commitment to developing nations interests said Jaishankar.,2024-05-01,TheHindu
Jaishankar,Jaishankar said India seeks a reformed multilateralism that is more representative equitable and effective.,2024-06-01,TheHindu
Jaishankar,Technology governance including AI regulation and data sovereignty is a new area of diplomatic engagement said Jaishankar.,2024-07-01,TheHindu
Jaishankar,India defense partnerships have expanded significantly with major procurement and co-production agreements said Jaishankar.,2024-08-01,TheHindu
Jaishankar,Jaishankar stressed cybersecurity cooperation and protection of critical infrastructure in bilateral discussions.,2024-09-01,TheHindu
Jaishankar,India pharmaceutical industry serves as the pharmacy of the world and reflects our commitment to global health said Jaishankar.,2024-01-01,TheHindu
Jaishankar,The importance of reliable secure and resilient supply chains in critical sectors cannot be overstated said Jaishankar.,2024-02-01,TheHindu
Jaishankar,Jaishankar participated in the East Asia Summit highlighting India Act East Policy and maritime security priorities.,2024-03-01,TheHindu
Tharoor,Shashi Tharoor delivered a passionate speech in Parliament arguing that democracy is not merely a system of governance but a way of life.,2024-01-01,NDTV
Tharoor,The idea of India encompasses diversity tolerance and the constitutional guarantee of rights for every citizen said Tharoor in Parliament.,2024-02-01,NDTV
Tharoor,Tharoor argued that India pluralist democratic traditions reflect centuries of philosophical thought about coexistence and tolerance.,2024-03-01,NDTV
Tharoor,Education must be decolonised and Britain owes India a historical reparation for centuries of exploitation said Shashi Tharoor.,2024-04-01,NDTV
Tharoor,Tharoor presented evidence of the drain of wealth from India to Britain during colonial rule amounting to trillions of dollars.,2024-05-01,NDTV
Tharoor,Free speech and a free press are the oxygen of democracy said Tharoor warning against attempts to muzzle dissent.,2024-06-01,NDTV
Tharoor,Any attempt to curtail journalistic freedom or silence political opposition is an attack on the republic itself said Tharoor.,2024-07-01,NDTV
Tharoor,Gender equality is not an option but a prerequisite for national development said Shashi Tharoor in his parliamentary address.,2024-08-01,NDTV
Tharoor,Women political representation must increase substantially in Parliament and state legislatures said Tharoor advocating for reservation.,2024-09-01,NDTV
Tharoor,India soft power including cinema yoga cuisine and literature is its greatest diplomatic asset said Tharoor at a cultural summit.,2024-01-01,NDTV
Tharoor,Bollywood the yoga movement and Indian cuisine have done more for global perception of India than any diplomatic mission said Tharoor.,2024-02-01,NDTV
Tharoor,Social justice requires affirmative action to correct historical wrongs of caste discrimination said Tharoor in his address.,2024-03-01,NDTV
Tharoor,Caste discrimination persists in modern India and must be confronted honestly without political convenience said Shashi Tharoor.,2024-04-01,NDTV
Tharoor,Healthcare is a right not a privilege and universal health coverage must be the cornerstone of India social policy said Tharoor.,2024-05-01,NDTV
Tharoor,India healthcare system needs massive investment in primary care rural health and preventive medicine said Tharoor.,2024-06-01,NDTV
Tharoor,Climate justice means wealthy nations that caused historical emissions must finance adaptation in the Global South said Tharoor.,2024-07-01,NDTV
Tharoor,India must lead the demand for climate finance from developed countries at international negotiations said Tharoor.,2024-08-01,NDTV
Tharoor,The digital divide threatens to leave millions of Indians behind and bridging connectivity gaps is as important as roads said Tharoor.,2024-09-01,NDTV
Tharoor,Tharoor spoke about the need for digital literacy programs to ensure technology benefits reach rural and marginalised communities.,2024-01-01,NDTV
Tharoor,Parliament must debate vigorously and hold the government accountable on all matters of national importance said Tharoor.,2024-02-01,NDTV
Tharoor,Tharoor argued that the quality of parliamentary debate has declined and legislators must engage more substantively with policy.,2024-03-01,NDTV
Tharoor,India secularism is a fundamental feature of the Constitution and must be protected against communal polarisation said Tharoor.,2024-04-01,NDTV
Tharoor,The diversity of India is its strength not a weakness and no single cultural identity can define our pluralist nation said Tharoor.,2024-05-01,NDTV
Tharoor,Tharoor delivered a lecture on Indian history challenging the colonial narrative and celebrating indigenous intellectual traditions.,2024-06-01,NDTV
Tharoor,India contribution to world civilisation in mathematics astronomy philosophy and literature is immense said Shashi Tharoor.,2024-07-01,NDTV
Tharoor,The rights of minorities linguistic religious and cultural must be protected under the constitutional framework said Tharoor.,2024-08-01,NDTV
Tharoor,Tharoor argued for stronger federal structures and more financial autonomy for state governments in India.,2024-09-01,NDTV
Tharoor,Electoral reforms including state funding of elections and stricter campaign finance laws are urgently needed said Tharoor.,2024-01-01,NDTV
Tharoor,India foreign policy must be guided by values of democracy human rights and rule of law not just transactional interests said Tharoor.,2024-02-01,NDTV
Tharoor,Tharoor spoke about the role of United Nations in maintaining peace and the need for India to actively shape its agenda.,2024-03-01,NDTV
Tharoor,The treatment of Indias colonial history in textbooks and public discourse needs to be honest and comprehensive said Tharoor.,2024-04-01,NDTV
Tharoor,Tharoor argued that the partition of India was a direct consequence of British divide and rule policies over decades.,2024-05-01,NDTV
Tharoor,India environmental laws must be strengthened to protect forests rivers and biodiversity from commercial exploitation said Tharoor.,2024-06-01,NDTV
Tharoor,Tharoor raised concerns about surveillance technologies and the right to privacy as a fundamental constitutional right.,2024-07-01,NDTV
Tharoor,Judicial independence and the separation of powers must be maintained as pillars of Indian democracy said Shashi Tharoor.,2024-08-01,NDTV
Tharoor,India anti-corruption measures must go beyond rhetoric to structural reforms that reduce discretionary power said Tharoor.,2024-09-01,NDTV
Tharoor,Tharoor spoke in favour of decriminalising personal choices that harm no others as a matter of individual liberty.,2024-01-01,NDTV
Tharoor,The rights of LGBTQ citizens must be fully recognised under Indian law said Tharoor supporting equality before the law.,2024-02-01,NDTV
Tharoor,India needs a national urban policy to manage the explosive growth of cities and ensure livable urban environments said Tharoor.,2024-03-01,NDTV
Tharoor,Tharoor delivered the keynote at a literary festival celebrating Indian writing in English as a vital creative tradition.,2024-04-01,NDTV
Tharoor,Shashi Tharoor delivered a passionate speech in Parliament arguing that democracy is not merely a system of governance but a way of life.,2024-05-01,NDTV
Tharoor,The idea of India encompasses diversity tolerance and the constitutional guarantee of rights for every citizen said Tharoor in Parliament.,2024-06-01,NDTV
Tharoor,Tharoor argued that India pluralist democratic traditions reflect centuries of philosophical thought about coexistence and tolerance.,2024-07-01,NDTV
Tharoor,Education must be decolonised and Britain owes India a historical reparation for centuries of exploitation said Shashi Tharoor.,2024-08-01,NDTV
Tharoor,Tharoor presented evidence of the drain of wealth from India to Britain during colonial rule amounting to trillions of dollars.,2024-09-01,NDTV
Tharoor,Free speech and a free press are the oxygen of democracy said Tharoor warning against attempts to muzzle dissent.,2024-01-01,NDTV
Tharoor,Any attempt to curtail journalistic freedom or silence political opposition is an attack on the republic itself said Tharoor.,2024-02-01,NDTV
Tharoor,Gender equality is not an option but a prerequisite for national development said Shashi Tharoor in his parliamentary address.,2024-03-01,NDTV
Tharoor,Women political representation must increase substantially in Parliament and state legislatures said Tharoor advocating for reservation.,2024-04-01,NDTV
Tharoor,India soft power including cinema yoga cuisine and literature is its greatest diplomatic asset said Tharoor at a cultural summit.,2024-05-01,NDTV
Tharoor,Bollywood the yoga movement and Indian cuisine have done more for global perception of India than any diplomatic mission said Tharoor.,2024-06-01,NDTV
Tharoor,Social justice requires affirmative action to correct historical wrongs of caste discrimination said Tharoor in his address.,2024-07-01,NDTV
Tharoor,Caste discrimination persists in modern India and must be confronted honestly without political convenience said Shashi Tharoor.,2024-08-01,NDTV
Tharoor,Healthcare is a right not a privilege and universal health coverage must be the cornerstone of India social policy said Tharoor.,2024-09-01,NDTV
Tharoor,India healthcare system needs massive investment in primary care rural health and preventive medicine said Tharoor.,2024-01-01,NDTV
Tharoor,Climate justice means wealthy nations that caused historical emissions must finance adaptation in the Global South said Tharoor.,2024-02-01,NDTV
Tharoor,India must lead the demand for climate finance from developed countries at international negotiations said Tharoor.,2024-03-01,NDTV
Tharoor,The digital divide threatens to leave millions of Indians behind and bridging connectivity gaps is as important as roads said Tharoor.,2024-04-01,NDTV
Tharoor,Tharoor spoke about the need for digital literacy programs to ensure technology benefits reach rural and marginalised communities.,2024-05-01,NDTV
Tharoor,Parliament must debate vigorously and hold the government accountable on all matters of national importance said Tharoor.,2024-06-01,NDTV
Tharoor,Tharoor argued that the quality of parliamentary debate has declined and legislators must engage more substantively with policy.,2024-07-01,NDTV
Tharoor,India secularism is a fundamental feature of the Constitution and must be protected against communal polarisation said Tharoor.,2024-08-01,NDTV
Tharoor,The diversity of India is its strength not a weakness and no single cultural identity can define our pluralist nation said Tharoor.,2024-09-01,NDTV
Tharoor,Tharoor delivered a lecture on Indian history challenging the colonial narrative and celebrating indigenous intellectual traditions.,2024-01-01,NDTV
Tharoor,India contribution to world civilisation in mathematics astronomy philosophy and literature is immense said Shashi Tharoor.,2024-02-01,NDTV
Tharoor,The rights of minorities linguistic religious and cultural must be protected under the constitutional framework said Tharoor.,2024-03-01,NDTV
Tharoor,Tharoor argued for stronger federal structures and more financial autonomy for state governments in India.,2024-04-01,NDTV
Tharoor,Electoral reforms including state funding of elections and stricter campaign finance laws are urgently needed said Tharoor.,2024-05-01,NDTV
Tharoor,India foreign policy must be guided by values of democracy human rights and rule of law not just transactional interests said Tharoor.,2024-06-01,NDTV
Tharoor,Tharoor spoke about the role of United Nations in maintaining peace and the need for India to actively shape its agenda.,2024-07-01,NDTV
Tharoor,The treatment of Indias colonial history in textbooks and public discourse needs to be honest and comprehensive said Tharoor.,2024-08-01,NDTV
Tharoor,Tharoor argued that the partition of India was a direct consequence of British divide and rule policies over decades.,2024-09-01,NDTV
Tharoor,India environmental laws must be strengthened to protect forests rivers and biodiversity from commercial exploitation said Tharoor.,2024-01-01,NDTV
Tharoor,Tharoor raised concerns about surveillance technologies and the right to privacy as a fundamental constitutional right.,2024-02-01,NDTV
Tharoor,Judicial independence and the separation of powers must be maintained as pillars of Indian democracy said Shashi Tharoor.,2024-03-01,NDTV
Tharoor,India anti-corruption measures must go beyond rhetoric to structural reforms that reduce discretionary power said Tharoor.,2024-04-01,NDTV
Tharoor,Tharoor spoke in favour of decriminalising personal choices that harm no others as a matter of individual liberty.,2024-05-01,NDTV
Tharoor,The rights of LGBTQ citizens must be fully recognised under Indian law said Tharoor supporting equality before the law.,2024-06-01,NDTV
Tharoor,India needs a national urban policy to manage the explosive growth of cities and ensure livable urban environments said Tharoor.,2024-07-01,NDTV
Tharoor,Tharoor delivered the keynote at a literary festival celebrating Indian writing in English as a vital creative tradition.,2024-08-01,NDTV
Tharoor,Shashi Tharoor delivered a passionate speech in Parliament arguing that democracy is not merely a system of governance but a way of life.,2024-09-01,NDTV
Tharoor,The idea of India encompasses diversity tolerance and the constitutional guarantee of rights for every citizen said Tharoor in Parliament.,2024-01-01,NDTV
Tharoor,Tharoor argued that India pluralist democratic traditions reflect centuries of philosophical thought about coexistence and tolerance.,2024-02-01,NDTV
Tharoor,Education must be decolonised and Britain owes India a historical reparation for centuries of exploitation said Shashi Tharoor.,2024-03-01,NDTV
Tharoor,Tharoor presented evidence of the drain of wealth from India to Britain during colonial rule amounting to trillions of dollars.,2024-04-01,NDTV
Tharoor,Free speech and a free press are the oxygen of democracy said Tharoor warning against attempts to muzzle dissent.,2024-05-01,NDTV
Tharoor,Any attempt to curtail journalistic freedom or silence political opposition is an attack on the republic itself said Tharoor.,2024-06-01,NDTV
Tharoor,Gender equality is not an option but a prerequisite for national development said Shashi Tharoor in his parliamentary address.,2024-07-01,NDTV
Tharoor,Women political representation must increase substantially in Parliament and state legislatures said Tharoor advocating for reservation.,2024-08-01,NDTV
Tharoor,India soft power including cinema yoga cuisine and literature is its greatest diplomatic asset said Tharoor at a cultural summit.,2024-09-01,NDTV
Tharoor,Bollywood the yoga movement and Indian cuisine have done more for global perception of India than any diplomatic mission said Tharoor.,2024-01-01,NDTV
Tharoor,Social justice requires affirmative action to correct historical wrongs of caste discrimination said Tharoor in his address.,2024-02-01,NDTV
Tharoor,Caste discrimination persists in modern India and must be confronted honestly without political convenience said Shashi Tharoor.,2024-03-01,NDTV
Tharoor,Healthcare is a right not a privilege and universal health coverage must be the cornerstone of India social policy said Tharoor.,2024-04-01,NDTV
Tharoor,India healthcare system needs massive investment in primary care rural health and preventive medicine said Tharoor.,2024-05-01,NDTV
Tharoor,Climate justice means wealthy nations that caused historical emissions must finance adaptation in the Global South said Tharoor.,2024-06-01,NDTV
Tharoor,India must lead the demand for climate finance from developed countries at international negotiations said Tharoor.,2024-07-01,NDTV
Tharoor,The digital divide threatens to leave millions of Indians behind and bridging connectivity gaps is as important as roads said Tharoor.,2024-08-01,NDTV
Tharoor,Tharoor spoke about the need for digital literacy programs to ensure technology benefits reach rural and marginalised communities.,2024-09-01,NDTV
Tharoor,Parliament must debate vigorously and hold the government accountable on all matters of national importance said Tharoor.,2024-01-01,NDTV
Tharoor,Tharoor argued that the quality of parliamentary debate has declined and legislators must engage more substantively with policy.,2024-02-01,NDTV
Tharoor,India secularism is a fundamental feature of the Constitution and must be protected against communal polarisation said Tharoor.,2024-03-01,NDTV
Tharoor,The diversity of India is its strength not a weakness and no single cultural identity can define our pluralist nation said Tharoor.,2024-04-01,NDTV
Tharoor,Tharoor delivered a lecture on Indian history challenging the colonial narrative and celebrating indigenous intellectual traditions.,2024-05-01,NDTV
Tharoor,India contribution to world civilisation in mathematics astronomy philosophy and literature is immense said Shashi Tharoor.,2024-06-01,NDTV
Tharoor,The rights of minorities linguistic religious and cultural must be protected under the constitutional framework said Tharoor.,2024-07-01,NDTV
Tharoor,Tharoor argued for stronger federal structures and more financial autonomy for state governments in India.,2024-08-01,NDTV
Tharoor,Electoral reforms including state funding of elections and stricter campaign finance laws are urgently needed said Tharoor.,2024-09-01,NDTV
Tharoor,India foreign policy must be guided by values of democracy human rights and rule of law not just transactional interests said Tharoor.,2024-01-01,NDTV
Tharoor,Tharoor spoke about the role of United Nations in maintaining peace and the need for India to actively shape its agenda.,2024-02-01,NDTV
Tharoor,The treatment of Indias colonial history in textbooks and public discourse needs to be honest and comprehensive said Tharoor.,2024-03-01,NDTV
Tharoor,Tharoor argued that the partition of India was a direct consequence of British divide and rule policies over decades.,2024-04-01,NDTV
Tharoor,India environmental laws must be strengthened to protect forests rivers and biodiversity from commercial exploitation said Tharoor.,2024-05-01,NDTV
Tharoor,Tharoor raised concerns about surveillance technologies and the right to privacy as a fundamental constitutional right.,2024-06-01,NDTV
